step,cluster_1,cluster_2,distance,member_count,new_cluster_id,cluster_1_members,cluster_2_members,new_cluster_members
1,7.0,8.0,0.17547611464748553,2.0,12,NASDAQ100,SP500,NASDAQ100|SP500
2,9.0,10.0,0.21260312660133762,2.0,13,HSTECH,HK_BROAD,HSTECH|HK_BROAD
3,0.0,2.0,0.2606583023401289,2.0,14,CN_LARGE,CN_GROWTH,CN_LARGE|CN_GROWTH
4,1.0,14.0,0.31577118175695573,3.0,15,CN_SMALL,CN_LARGE|CN_GROWTH,CN_SMALL|CN_LARGE|CN_GROWTH
5,3.0,6.0,0.3636653825709483,2.0,16,CN_DIVIDEND,COAL,CN_DIVIDEND|COAL
6,4.0,15.0,0.3937177226589849,4.0,17,HEALTHCARE,CN_SMALL|CN_LARGE|CN_GROWTH,HEALTHCARE|CN_SMALL|CN_LARGE|CN_GROWTH
7,5.0,17.0,0.45152018456514087,5.0,18,CONSUMER,HEALTHCARE|CN_SMALL|CN_LARGE|CN_GROWTH,CONSUMER|HEALTHCARE|CN_SMALL|CN_LARGE|CN_GROWTH
8,13.0,18.0,0.5112448231914636,7.0,19,HSTECH|HK_BROAD,CONSUMER|HEALTHCARE|CN_SMALL|CN_LARGE|CN_GROWTH,HSTECH|HK_BROAD|CONSUMER|HEALTHCARE|CN_SMALL|CN_LARGE|CN_GROWTH
9,16.0,19.0,0.567417228718489,9.0,20,CN_DIVIDEND|COAL,HSTECH|HK_BROAD|CONSUMER|HEALTHCARE|CN_SMALL|CN_LARGE|CN_GROWTH,CN_DIVIDEND|COAL|HSTECH|HK_BROAD|CONSUMER|HEALTHCARE|CN_SMALL|CN_LARGE|CN_GROWTH
10,11.0,20.0,0.6648893780763659,10.0,21,GOLD,CN_DIVIDEND|COAL|HSTECH|HK_BROAD|CONSUMER|HEALTHCARE|CN_SMALL|CN_LARGE|CN_GROWTH,GOLD|CN_DIVIDEND|COAL|HSTECH|HK_BROAD|CONSUMER|HEALTHCARE|CN_SMALL|CN_LARGE|CN_GROWTH
11,12.0,21.0,0.68025594045597,12.0,22,NASDAQ100|SP500,GOLD|CN_DIVIDEND|COAL|HSTECH|HK_BROAD|CONSUMER|HEALTHCARE|CN_SMALL|CN_LARGE|CN_GROWTH,NASDAQ100|SP500|GOLD|CN_DIVIDEND|COAL|HSTECH|HK_BROAD|CONSUMER|HEALTHCARE|CN_SMALL|CN_LARGE|CN_GROWTH
