logical_asset_id,status,benchmark_symbol,provider,currency,timezone,benchmark_type,first_valid_date,last_valid_date,n_daily_obs,history_flag
CN_LARGE,ANALYZED,000300.SH,longbridge,CNY,Asia/Shanghai,INDEX,2002-01-04,2026-09-01,5983,OK
CN_SMALL,ANALYZED,000852.SH,longbridge,CNY,Asia/Shanghai,INDEX,2014-10-17,2026-09-01,2889,OK
CN_GROWTH,ANALYZED,399006.SZ,longbridge,CNY,Asia/Shanghai,INDEX,2010-06-01,2026-09-01,3948,OK
CN_DIVIDEND,ANALYZED,000922.SH,longbridge,CNY,Asia/Shanghai,INDEX,2016-01-13,2026-09-01,2583,OK
SEMI,UNRESOLVED,,,CNY,Asia/Shanghai,INDEX,,,0,UNRESOLVED
HEALTHCARE,ANALYZED,000991.SH,longbridge,CNY,Asia/Shanghai,INDEX,2011-08-02,2026-09-01,3664,OK
CONSUMER,ANALYZED,000932.SH,longbridge,CNY,Asia/Shanghai,INDEX,2009-07-03,2026-09-01,4171,OK
COAL,ANALYZED,399998.SZ,longbridge,CNY,Asia/Shanghai,INDEX,2015-06-17,2026-09-01,2725,OK
NASDAQ100,ANALYZED,.NDX.US,longbridge,USD,America/New_York,INDEX,2010-01-04,2026-08-31,4190,OK
SP500,ANALYZED,.SPX.US,longbridge,USD,America/New_York,INDEX,2010-01-04,2026-08-31,4193,OK
HSTECH,ANALYZED,HSTECH.HK,longbridge,HKD,Asia/Hong_Kong,INDEX,2020-07-27,2026-09-01,1500,OK
HK_BROAD,ANALYZED,HSI.HK,longbridge,HKD,Asia/Hong_Kong,INDEX,2000-01-03,2026-09-01,6595,OK
GOLD,ANALYZED,Au99.99,akshare,CNY,Asia/Shanghai,SPOT,2016-12-19,2026-09-01,2355,OK
BOND_LONG,UNRESOLVED,,,CNY,Asia/Shanghai,INDEX,,,0,UNRESOLVED
BOND_MED,UNRESOLVED,,,CNY,Asia/Shanghai,INDEX,,,0,UNRESOLVED
CASH,UNRESOLVED,,,CNY,Asia/Shanghai,CASH_PROXY,,,0,UNRESOLVED
