rank,eigenvalue,explained_share
1,5.219582701533302,0.43496522512777513
2,1.924939996600656,0.160411666383388
3,1.3135067865419463,0.10945889887849553
4,1.0916080622532598,0.09096733852110499
5,0.9637354281604742,0.08031128568003952
6,0.6242603415545027,0.05202169512954189
7,0.2994749090734496,0.024956242422787465
8,0.2173251442481592,0.0181104286873466
9,0.15658232167659314,0.013048526806382762
10,0.08271886653928813,0.006893238878274011
11,0.05907511394833529,0.004922926162361274
12,0.04719032787003445,0.003932527322502871
