rank,eigenvalue,explained_share
1,5.873625530620856,0.3915750353747239
2,2.042161146796489,0.1361440764530993
3,1.675174512026418,0.11167830080176125
4,1.5703458212739336,0.10468972141826229
5,1.0468027923992878,0.06978685282661921
6,0.9171686579154845,0.061144577194365654
7,0.680213422818055,0.04534756152120368
8,0.33895332060274497,0.022596888040183005
9,0.23700809820863222,0.015800539880575486
10,0.18733171034140472,0.012488780689426986
11,0.15611271880176752,0.010407514586784506
12,0.10056162591153428,0.0067041083941022876
13,0.07580452884061273,0.005053635256040851
14,0.05207253875781046,0.003471502583854032
15,0.04666357468496651,0.0031109049789977685
