asset_1,asset_2,frequency,start_date,end_date,n_obs,pearson_correlation,redundancy_band
CN_LARGE,CN_SMALL,DAILY,2014-10-20,2026-09-01,2888,0.7702889999752296,HIGH
CN_LARGE,CN_GROWTH,DAILY,2010-06-02,2026-09-01,3947,0.7486808967500074,MODERATE
CN_LARGE,CN_DIVIDEND,DAILY,2016-01-14,2026-09-01,2582,0.7777965813394414,HIGH
CN_LARGE,HEALTHCARE,DAILY,2011-08-03,2026-09-01,3663,0.7447481775701617,MODERATE
CN_LARGE,CONSUMER,DAILY,2009-07-06,2026-09-01,4170,0.7887371767738207,HIGH
CN_LARGE,COAL,DAILY,2015-06-18,2026-09-01,2724,0.5703563573053313,LOW_MODERATE
CN_LARGE,NASDAQ100,DAILY,2010-01-05,2026-08-31,3909,0.15035415842030025,LOW_MODERATE
CN_LARGE,SP500,DAILY,2010-01-05,2026-08-31,3911,0.14264736097789862,LOW_MODERATE
CN_LARGE,HSTECH,DAILY,2020-07-28,2026-09-01,1435,0.6037115535944049,MODERATE
CN_LARGE,HK_BROAD,DAILY,2002-01-07,2026-09-01,5814,0.47251355049922383,LOW_MODERATE
CN_LARGE,GOLD,DAILY,2016-12-20,2026-09-01,2353,0.08770551333355896,LOW_MODERATE
CN_SMALL,CN_GROWTH,DAILY,2014-10-20,2026-09-01,2888,0.8878016232552509,HIGH
CN_SMALL,CN_DIVIDEND,DAILY,2016-01-14,2026-09-01,2582,0.6660642605881629,MODERATE
CN_SMALL,HEALTHCARE,DAILY,2014-10-20,2026-09-01,2888,0.7764051146269654,HIGH
CN_SMALL,CONSUMER,DAILY,2014-10-20,2026-09-01,2888,0.6030570906620487,MODERATE
CN_SMALL,COAL,DAILY,2015-06-18,2026-09-01,2724,0.5345334517970428,LOW_MODERATE
CN_SMALL,NASDAQ100,DAILY,2014-10-20,2026-08-31,2790,0.12694325047275115,LOW_MODERATE
CN_SMALL,SP500,DAILY,2014-10-20,2026-08-31,2790,0.1254043234706937,LOW_MODERATE
CN_SMALL,HSTECH,DAILY,2020-07-28,2026-09-01,1435,0.4533795491910062,LOW_MODERATE
CN_SMALL,HK_BROAD,DAILY,2014-10-20,2026-09-01,2805,0.4047540867896919,LOW_MODERATE
CN_SMALL,GOLD,DAILY,2016-12-20,2026-09-01,2353,0.10023794643578092,LOW_MODERATE
CN_GROWTH,CN_DIVIDEND,DAILY,2016-01-14,2026-09-01,2582,0.5343369813298177,LOW_MODERATE
CN_GROWTH,HEALTHCARE,DAILY,2011-08-03,2026-09-01,3663,0.8080217622176513,HIGH
CN_GROWTH,CONSUMER,DAILY,2010-06-02,2026-09-01,3947,0.6406639131429704,MODERATE
CN_GROWTH,COAL,DAILY,2015-06-18,2026-09-01,2724,0.4042184036761081,LOW_MODERATE
CN_GROWTH,NASDAQ100,DAILY,2010-06-02,2026-08-31,3813,0.1212103607799071,LOW_MODERATE
CN_GROWTH,SP500,DAILY,2010-06-02,2026-08-31,3815,0.1105677627416135,LOW_MODERATE
CN_GROWTH,HSTECH,DAILY,2020-07-28,2026-09-01,1435,0.4833584161175649,LOW_MODERATE
CN_GROWTH,HK_BROAD,DAILY,2010-06-02,2026-09-01,3845,0.380739362926752,LOW_MODERATE
CN_GROWTH,GOLD,DAILY,2016-12-20,2026-09-01,2353,0.0520238515252322,LOW_MODERATE
CN_DIVIDEND,HEALTHCARE,DAILY,2016-01-14,2026-09-01,2582,0.5584813009840071,LOW_MODERATE
CN_DIVIDEND,CONSUMER,DAILY,2016-01-14,2026-09-01,2582,0.6008115517956965,MODERATE
CN_DIVIDEND,COAL,DAILY,2016-01-14,2026-09-01,2582,0.7400083483849248,MODERATE
CN_DIVIDEND,NASDAQ100,DAILY,2016-01-14,2026-08-31,2494,0.08417584742896755,LOW_MODERATE
CN_DIVIDEND,SP500,DAILY,2016-01-14,2026-08-31,2494,0.09630871375578576,LOW_MODERATE
CN_DIVIDEND,HSTECH,DAILY,2020-07-28,2026-09-01,1434,0.3981222168860653,LOW_MODERATE
CN_DIVIDEND,HK_BROAD,DAILY,2016-01-14,2026-09-01,2506,0.5028811181032926,LOW_MODERATE
CN_DIVIDEND,GOLD,DAILY,2016-12-20,2026-09-01,2352,0.08253729027474398,LOW_MODERATE
HEALTHCARE,CONSUMER,DAILY,2011-08-03,2026-09-01,3663,0.7472305237969147,MODERATE
HEALTHCARE,COAL,DAILY,2015-06-18,2026-09-01,2724,0.39495118100717624,LOW_MODERATE
HEALTHCARE,NASDAQ100,DAILY,2011-08-03,2026-08-31,3538,0.10479133867348975,LOW_MODERATE
HEALTHCARE,SP500,DAILY,2011-08-03,2026-08-31,3540,0.09672179775551135,LOW_MODERATE
HEALTHCARE,HSTECH,DAILY,2020-07-28,2026-09-01,1435,0.4400137959329588,LOW_MODERATE
HEALTHCARE,HK_BROAD,DAILY,2011-08-03,2026-09-01,3564,0.40293429069153464,LOW_MODERATE
HEALTHCARE,GOLD,DAILY,2016-12-20,2026-09-01,2353,0.0570421114797395,LOW_MODERATE
CONSUMER,COAL,DAILY,2015-06-18,2026-09-01,2724,0.42675966113382596,LOW_MODERATE
CONSUMER,NASDAQ100,DAILY,2010-01-05,2026-08-31,3909,0.11453639425440211,LOW_MODERATE
CONSUMER,SP500,DAILY,2010-01-05,2026-08-31,3911,0.1098029401722227,LOW_MODERATE
CONSUMER,HSTECH,DAILY,2020-07-28,2026-09-01,1435,0.47039563900881054,LOW_MODERATE
CONSUMER,HK_BROAD,DAILY,2009-07-06,2026-09-01,4064,0.44188366184337774,LOW_MODERATE
CONSUMER,GOLD,DAILY,2016-12-20,2026-09-01,2353,0.04665614018400839,LOW_MODERATE
COAL,NASDAQ100,DAILY,2015-06-18,2026-08-31,2632,0.06453519670700544,LOW_MODERATE
COAL,SP500,DAILY,2015-06-18,2026-08-31,2632,0.0721028837928749,LOW_MODERATE
COAL,HSTECH,DAILY,2020-07-28,2026-09-01,1435,0.1925737183498514,LOW_MODERATE
COAL,HK_BROAD,DAILY,2015-06-18,2026-09-01,2645,0.34423335006373507,LOW_MODERATE
COAL,GOLD,DAILY,2016-12-20,2026-09-01,2353,0.05343710606035701,LOW_MODERATE
NASDAQ100,SP500,DAILY,2010-01-05,2026-08-31,4189,0.9323602374492249,VERY_HIGH
NASDAQ100,HSTECH,DAILY,2020-07-28,2026-08-31,1458,0.14542836194355815,LOW_MODERATE
NASDAQ100,HK_BROAD,DAILY,2010-01-05,2026-08-31,4021,0.18135036851703146,LOW_MODERATE
NASDAQ100,GOLD,DAILY,2016-12-20,2026-08-31,2273,0.003061064474858603,LOW_MODERATE
SP500,HSTECH,DAILY,2020-07-28,2026-08-31,1458,0.12473647244437244,LOW_MODERATE
SP500,HK_BROAD,DAILY,2010-01-05,2026-08-31,4023,0.18812889318897408,LOW_MODERATE
SP500,GOLD,DAILY,2016-12-20,2026-08-31,2273,0.014007008537631168,LOW_MODERATE
HSTECH,HK_BROAD,DAILY,2020-07-28,2026-09-01,1499,0.9106328673768562,VERY_HIGH
HSTECH,GOLD,DAILY,2020-07-28,2026-09-01,1434,0.08746519286485772,LOW_MODERATE
HK_BROAD,GOLD,DAILY,2016-12-20,2026-09-01,2284,0.08140878316897766,LOW_MODERATE
CN_LARGE,CN_SMALL,WEEKLY,2014-10-24,2026-09-01,596,0.730088344823876,MODERATE
CN_LARGE,CN_GROWTH,WEEKLY,2010-06-11,2026-09-01,816,0.7105286598999798,MODERATE
CN_LARGE,CN_DIVIDEND,WEEKLY,2016-01-22,2026-09-01,531,0.7590559853124611,HIGH
CN_LARGE,HEALTHCARE,WEEKLY,2011-08-12,2026-09-01,755,0.720895216968034,MODERATE
CN_LARGE,CONSUMER,WEEKLY,2009-07-10,2026-09-01,862,0.7385321691186826,MODERATE
CN_LARGE,COAL,WEEKLY,2015-06-26,2026-09-01,561,0.5599082621399046,LOW_MODERATE
CN_LARGE,NASDAQ100,WEEKLY,2010-01-15,2026-08-28,764,0.3011430822342443,LOW_MODERATE
CN_LARGE,SP500,WEEKLY,2010-01-15,2026-08-28,764,0.2883824711668238,LOW_MODERATE
CN_LARGE,HSTECH,WEEKLY,2020-08-07,2026-09-01,281,0.6715125385301791,MODERATE
CN_LARGE,HK_BROAD,WEEKLY,2002-01-11,2026-09-01,1126,0.4184308241401146,LOW_MODERATE
CN_LARGE,GOLD,WEEKLY,2016-12-30,2026-09-01,485,0.08576362184556346,LOW_MODERATE
CN_SMALL,CN_GROWTH,WEEKLY,2014-10-24,2026-09-01,596,0.875946884596058,HIGH
CN_SMALL,CN_DIVIDEND,WEEKLY,2016-01-22,2026-09-01,531,0.59687319614084,LOW_MODERATE
CN_SMALL,HEALTHCARE,WEEKLY,2014-10-24,2026-09-01,596,0.7802240741225478,HIGH
CN_SMALL,CONSUMER,WEEKLY,2014-10-24,2026-09-01,596,0.5516933732711556,LOW_MODERATE
CN_SMALL,COAL,WEEKLY,2015-06-26,2026-09-01,561,0.4957890924508185,LOW_MODERATE
CN_SMALL,NASDAQ100,WEEKLY,2014-10-24,2026-08-28,542,0.2504951999230136,LOW_MODERATE
CN_SMALL,SP500,WEEKLY,2014-10-24,2026-08-28,542,0.2282812648379015,LOW_MODERATE
CN_SMALL,HSTECH,WEEKLY,2020-08-07,2026-09-01,281,0.5055869628925296,LOW_MODERATE
CN_SMALL,HK_BROAD,WEEKLY,2014-10-24,2026-09-01,545,0.4115352230865282,LOW_MODERATE
CN_SMALL,GOLD,WEEKLY,2016-12-30,2026-09-01,485,0.10102959035225814,LOW_MODERATE
CN_GROWTH,CN_DIVIDEND,WEEKLY,2016-01-22,2026-09-01,531,0.4611732913669627,LOW_MODERATE
CN_GROWTH,HEALTHCARE,WEEKLY,2011-08-12,2026-09-01,755,0.8013236208194725,HIGH
CN_GROWTH,CONSUMER,WEEKLY,2010-06-11,2026-09-01,816,0.6117951417730606,MODERATE
CN_GROWTH,COAL,WEEKLY,2015-06-26,2026-09-01,561,0.35598018883641463,LOW_MODERATE
CN_GROWTH,NASDAQ100,WEEKLY,2010-06-11,2026-08-28,746,0.23678045848450108,LOW_MODERATE
CN_GROWTH,SP500,WEEKLY,2010-06-11,2026-08-28,746,0.2018356806611295,LOW_MODERATE
CN_GROWTH,HSTECH,WEEKLY,2020-08-07,2026-09-01,281,0.5681513932798533,LOW_MODERATE
CN_GROWTH,HK_BROAD,WEEKLY,2010-06-11,2026-09-01,752,0.35073597344671603,LOW_MODERATE
CN_GROWTH,GOLD,WEEKLY,2016-12-30,2026-09-01,485,0.04127319268256837,LOW_MODERATE
CN_DIVIDEND,HEALTHCARE,WEEKLY,2016-01-22,2026-09-01,531,0.5223757543082465,LOW_MODERATE
CN_DIVIDEND,CONSUMER,WEEKLY,2016-01-22,2026-09-01,531,0.5927885043095489,LOW_MODERATE
CN_DIVIDEND,COAL,WEEKLY,2016-01-22,2026-09-01,531,0.7382085861557293,MODERATE
CN_DIVIDEND,NASDAQ100,WEEKLY,2016-01-22,2026-08-28,485,0.20183687293753838,LOW_MODERATE
CN_DIVIDEND,SP500,WEEKLY,2016-01-22,2026-08-28,485,0.23426316022292254,LOW_MODERATE
CN_DIVIDEND,HSTECH,WEEKLY,2020-08-07,2026-09-01,281,0.38674172759418546,LOW_MODERATE
CN_DIVIDEND,HK_BROAD,WEEKLY,2016-01-22,2026-09-01,488,0.5414575038943554,LOW_MODERATE
CN_DIVIDEND,GOLD,WEEKLY,2016-12-30,2026-09-01,485,0.1156096210730362,LOW_MODERATE
HEALTHCARE,CONSUMER,WEEKLY,2011-08-12,2026-09-01,755,0.7272497569296592,MODERATE
HEALTHCARE,COAL,WEEKLY,2015-06-26,2026-09-01,561,0.3736852747930125,LOW_MODERATE
HEALTHCARE,NASDAQ100,WEEKLY,2011-08-12,2026-08-28,690,0.22247768468817308,LOW_MODERATE
HEALTHCARE,SP500,WEEKLY,2011-08-12,2026-08-28,690,0.18743332924953796,LOW_MODERATE
HEALTHCARE,HSTECH,WEEKLY,2020-08-07,2026-09-01,281,0.5097699186801389,LOW_MODERATE
HEALTHCARE,HK_BROAD,WEEKLY,2011-08-12,2026-09-01,695,0.39771483782036476,LOW_MODERATE
HEALTHCARE,GOLD,WEEKLY,2016-12-30,2026-09-01,485,0.05510033819487893,LOW_MODERATE
CONSUMER,COAL,WEEKLY,2015-06-26,2026-09-01,561,0.43099497364586503,LOW_MODERATE
CONSUMER,NASDAQ100,WEEKLY,2010-01-15,2026-08-28,764,0.1897039355549085,LOW_MODERATE
CONSUMER,SP500,WEEKLY,2010-01-15,2026-08-28,764,0.1723580151253013,LOW_MODERATE
CONSUMER,HSTECH,WEEKLY,2020-08-07,2026-09-01,281,0.5426199467175912,LOW_MODERATE
CONSUMER,HK_BROAD,WEEKLY,2009-07-10,2026-09-01,794,0.41790279200037106,LOW_MODERATE
CONSUMER,GOLD,WEEKLY,2016-12-30,2026-09-01,485,0.042010683771011414,LOW_MODERATE
COAL,NASDAQ100,WEEKLY,2015-06-26,2026-08-28,511,0.12182109080105083,LOW_MODERATE
COAL,SP500,WEEKLY,2015-06-26,2026-08-28,511,0.15287808617640142,LOW_MODERATE
COAL,HSTECH,WEEKLY,2020-08-07,2026-09-01,281,0.19341251070773713,LOW_MODERATE
COAL,HK_BROAD,WEEKLY,2015-06-26,2026-09-01,515,0.35393559644613753,LOW_MODERATE
COAL,GOLD,WEEKLY,2016-12-30,2026-09-01,485,0.0740754845784293,LOW_MODERATE
NASDAQ100,SP500,WEEKLY,2010-01-15,2026-08-31,869,0.9245914057959663,VERY_HIGH
NASDAQ100,HSTECH,WEEKLY,2020-08-07,2026-08-28,300,0.28122196638044666,LOW_MODERATE
NASDAQ100,HK_BROAD,WEEKLY,2010-01-15,2026-08-28,833,0.42195546143977514,LOW_MODERATE
NASDAQ100,GOLD,WEEKLY,2016-12-30,2026-08-28,444,0.14038802753734406,LOW_MODERATE
SP500,HSTECH,WEEKLY,2020-08-07,2026-08-28,300,0.24394056974235814,LOW_MODERATE
SP500,HK_BROAD,WEEKLY,2010-01-15,2026-08-28,833,0.4443565559930246,LOW_MODERATE
SP500,GOLD,WEEKLY,2016-12-30,2026-08-28,444,0.14053882075988003,LOW_MODERATE
HSTECH,HK_BROAD,WEEKLY,2020-08-07,2026-09-01,318,0.9020370739052903,VERY_HIGH
HSTECH,GOLD,WEEKLY,2020-08-07,2026-09-01,282,0.0769001136022032,LOW_MODERATE
HK_BROAD,GOLD,WEEKLY,2016-12-30,2026-09-01,449,0.06415392338351475,LOW_MODERATE
