logical_asset_id,exact_candidate_count,proxy_candidate_count,unresolved_count,earliest_exact_list_date,known_delisted_count,evidence_complete_count,coverage_status
BOND_LONG,1,0,0,2017-08-24,0,1,GOOD
BOND_MED,1,0,0,2013-03-25,0,1,GOOD
CASH,0,0,0,,0,0,GOOD
CN_DIVIDEND,1,1,0,2019-12-20,0,2,GOOD
CN_GROWTH,1,0,0,2011-12-09,0,1,GOOD
CN_LARGE,1,0,0,2012-05-28,0,1,GOOD
CN_SMALL,1,0,0,2016-11-04,0,1,GOOD
COAL,1,0,0,2020-03-02,0,1,GOOD
CONSUMER,1,0,0,2013-09-16,0,1,GOOD
GOLD,1,0,0,2013-07-29,0,2,GOOD
HEALTHCARE,1,1,0,2015-01-08,0,2,GOOD
HK_BROAD,1,0,0,2012-10-22,0,1,GOOD
NASDAQ100,1,0,0,2013-05-15,0,1,GOOD
SEMI,1,0,0,2019-06-12,0,1,GOOD
SP500,1,0,0,2014-01-15,0,1,GOOD
